ticker,name,sector,mcap_cr,pe,roe,roce,sg5,pg5,growth,quality,peg,score,fin
AJANTPHARM,Ajanta Pharma Limited,Healthcare,46008.0,40.5,27.1,34.5,12.0,19.0,20.75,30.8,1.9518072289156627,65.1,False
POLICYBZR,PB Fintech Limited,Financial Services,80634.0,108.0,9.75,10.3,42.0,,42.0,9.75,2.5714285714285716,64.6,True
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,113715.0,23.4,21.2,21.1,19.0,16.0,22.25,21.15,1.051685393258427,64.4,False
SBIN,State Bank of India,Financial Services,984907.0,11.7,15.4,6.13,30.0,20.0,22.25,15.4,0.5258426966292135,62.9,True
COFORGE,Coforge Limited,Information Technology,80235.0,41.9,21.4,23.5,29.0,14.0,24.0,22.45,1.7458333333333333,62.3,False
FEDERALBNK,The Federal Bank  Limited,Financial Services,87250.0,18.8,11.6,6.39,21.0,33.0,25.75,11.6,0.7300970873786408,61.7,True
360ONE,360 ONE WAM LIMITED,Financial Services,47447.0,37.6,14.4,12.1,27.0,25.0,26.75,14.4,1.405607476635514,60.3,True
COLPAL,Colgate Palmolive (India) Limited,Fast Moving Consumer Goods,53883.0,125.0,158.0,179.0,,4.0,12.666666666666666,168.5,9.868421052631579,60.2,False
ABB,ABB India Limited,Capital Goods,162004.0,105.0,22.4,29.9,,35.0,28.0,26.15,3.75,59.8,False
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare,15184.0,81.0,19.7,21.3,15.0,,29.666666666666668,20.5,2.730337078651685,59.3,False
APTUS,Aptus Value Housing Finance India Limited,Financial Services,12523.0,12.7,20.1,15.4,29.0,,16.666666666666668,20.1,0.7619999999999999,59.0,True
APLAPOLLO,APL Apollo Tubes Limited,Capital Goods,57829.0,47.0,25.3,31.6,27.0,21.0,20.0,28.450000000000003,2.35,58.7,False
MARICO,Marico Limited,Fast Moving Consumer Goods,112168.0,59.5,42.8,47.0,9.0,11.0,11.5,44.9,5.173913043478261,58.7,False
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,98298.0,65.7,14.7,14.7,60.0,26.0,30.25,14.7,2.171900826446281,58.6,False
TITAN,Titan Company Limited,Consumer Durables,450552.0,77.2,37.7,20.5,40.0,22.0,24.5,29.1,3.1510204081632653,58.5,False
NESTLEIND,Nestle India Limited,Fast Moving Consumer Goods,289324.0,78.0,74.2,85.3,,11.0,11.0,79.75,7.090909090909091,58.2,False
AXISBANK,Axis Bank Limited,Financial Services,378794.0,13.6,13.1,6.24,30.0,10.0,21.0,13.1,0.6476190476190476,58.1,True
CAMS,Computer Age Management Services Limited,Financial Services,18956.0,38.3,36.3,47.0,21.0,4.0,14.5,36.3,2.6413793103448273,57.6,True
TATAELXSI,Tata Elxsi Limited,Information Technology,23484.0,230.0,39.3,60.0,16.0,-3.0,9.25,49.65,24.864864864864863,56.1,False
